Key,SourceString,
ShaderHelper,着色器助手,
File,文件,
Config,选项,
Edit,编辑,
Window,窗口,
Language,语言,
Chinese,中文,
English,英语,
New,新建,
Open,打开,
OpenEx,打开…,
Save,保存,
SaveAll,全部保存,
Preview,预览,
Propety,属性,
Code,代码,
Asset,资产,
Search,查找,
MatchCase,区分大小写,
MatchWhole,全字匹配,
Replace,替换,
ReplaceAll,全部替换,
Create,创建,
ResetWindowLayout,重置窗口布局,
EmptyFolderTip,空文件夹,
ShowInExplorer,从资源管理器打开,
Import,导入,
NewFolder,新建文件夹,
Font,字体,
MouseZoom,鼠标滚轮缩放,
MouseZoomTip,通过鼠标滚轮并按住ctrl键缩放字体,
ShowColorBlock,颜色块,
ShowColorBlockTip,悬停时显示颜色块,
RealTimeDiagnosis,实时诊断,
GuideLine,参考线,
HighlightCursorLine,高亮光标行,
Line,行,
Column,列,
FontSize,字体大小,
TabSize,制表符大小,
Size,大小,
COMPILING,编译中,
FAILED,编译失败,
SUCCEED,编译成功,
Editing,编辑,
Rename,重命名,
Delete,删除,
DeleteLeft,向左删除,
DeleteTokenLeft,向左删除一个token,
DeleteTokenRight,向右删除一个token,
DeleteRight,向右删除,
Cut,剪切,
Copy,拷贝,
Paste,粘贴,
Undo,撤销,
Redo,重做,
SelectAll,全选,
Duplicate,复制副本,
Continue,继续,
StepInto,Step Into,
StepOver,Step Over,
Validation,验证,
ValidationTip,"验证成功,未发现任何问题",
Debug,调试,
EnableUbsan,UBSan,
EnableUbsanTip,检查Shader未定义行为,
EnableLinePreview,行预览,
ShowTimestamp,GPU时间戳,
EnableLinePreviewTip,调试时在代码行旁显示变量预览缩略图,
ToggleComment,切换注释,
GoToDefinition,跳转到定义,
GoToBeginningOfLine,移动到代码行首,
GoToEndOfLine,移动到行末,
CursorSelectLeft,选中左侧字符,
CursorSelectRight,选中右侧字符,
CursorSelectLineStart,选中到代码行首,
CursorSelectLineEnd,选中到代码行末,
CursorTokenSelectLeft,选中左侧token,
CursorTokenSelectRight,选中右侧token,
CursorTokenLeft,向左移动一个token,
CursorTokenRight,向右移动一个token,
ScrollUp,向上滚动,
ScrollDown,向下滚动,
JumpTop,跳转到文件头,
JumpBottom,跳转到文件尾,
MoveLineUp,向上移动当前行,
MoveLineDown,向下移动当前行,
Ok,确定,
No,否,
Cancel,取消,
AssetImportFailure,导入资产失败,
DeleteItemTip,确定要删除选中项吗？,
CodeTabTip,选中任意Shader资产去编辑代码,
ShaderToy Shader,ShaderToy着色器,
VertexShader,顶点着色器,
PixelShader,像素着色器,
Material,材质,
MaterialPreview,材质预览,
PreviewPrimitive,预览图元,
Sphere,球体,
Quad,平面,
Cube,立方体,
ShaderHeader,着色器头文件,
ShaderEntryPointEmptyTip,入口点不能为空,
AssetRenameFailure,目标名称已被占用,
Graph,图编辑,
CutLine,切断连线,
ShaderToy,ShaderToy,
Render,Render,
ProjectName,项目名称:,
ProjectLocation,项目位置:,
RecentProjects,最近打开项目:,
Project,项目,
SaveAssetsTip,是否在关闭前保存所有更改?,
SaveAssetTip,该操作将会丢失当前更改! 是否保存?,
Log,日志,
Local,局部,
Global,全局,
CallStack,调用栈,
Watch,监视,
InvalidExpr,无效表达式,
EvaluatingExpr,求值中...,
SideEffectExpr,不支持有副作用的表达式,
DuplicateBindingName,不能有冲突的Binding名称,
VariableCol,名称,
ExpCol,名称,
ValueCol,值,
TypeCol,类型,
CallPointCol,,
FuncNameCol,名称,
LocationCol,位置,
TerminateDebuggerTip,此行为将会终止调试! 是否继续?,
StartDebuggerTip,正在启动调试器...,
StartValidatorTip,正在启动验证器...,
ReturnTip,将返回,
Uninitialized,未初始化,
DebugFailure,调试器启动失败,
EditDuringDebugging,"检测到shader改变,这可能导致调试器表现异常.是否仍要继续?",
Preferences,偏好设置,
Plugins,插件,
Keymap,键位映射,
Environment,环境,
GraphicsApi,图形api,
Reset,重置,
Command,命令,
AssetViewCommands,资产浏览器,
CodeEditorCommands,代码编辑器,
CodeEditor,代码编辑器,
UserInterface,用户界面,
Foreground,Foreground,
ForegroundHover,ForegroundHover,
Border,Border,
Background,Background,
Recessed,Recessed,
Panel,Panel,
Input,Input,
Header,Header,
Secondary,Secondary,
Dropdown,Dropdown,
Primary,Primary,
Select,Select,
SelectInactive,SelectInactive,
SelectHover,SelectHover,
Hover,Hover,
Title,Title,
GraphEditorCommands,图编辑器,
DebuggerViewCommands,调试器视图,
DisplayColorBlock,显示float3/float4颜色块,
ShortCut,快捷键,
Category,类别,
Theme,主题,
Default,默认,
Appearance,外观,
Help,帮助,
About,关于,
Desc,描述,
Version,版本,
Author,作者,
Location,位置,
ShowUninitialized,显示未初始化值,
GoForward,向前导航,
GoBack,向后导航,
Keyword,关键字,
Number,数字,
Comment,注释,
BuiltinFunc,内建函数,
BuiltinType,内建类型,
String,字符串,
Preprocess,预处理,
Parameter,形参,
Function,函数,
Type,类型,
GlobalVar,全局变量,
NonLocalVar,非局部变量,
Other,其他,
Punctuation,符号,
ProjectExists,该目录下已经存在相同项目,
ProjectNotExists,项目文件不存在,
BindingConflict,设置的快捷键"{0}"与命令"{1}"冲突,
Texture,纹理,
Format,格式,
Width,宽度,
Height,高度,
Depth,深度,
Shader,着色器,
FilterMode,过滤模式,
WrapMode,环绕模式,
Builtin,内置,
Custom,自定义,
Model,模型,
VertexCount,顶点数,
TriangleFaceCount,三角面数,
SubMeshCount,子网格数,
